Sort,Season,Agency,Date,Time,Station ID,Field rep,Depth (m),Time (seconds),Descent rate (m/s),Temperature (øC),Conductivity (S/m),Salinity (psu),Density (kg/m?),pH (pH units),Dissolved Oxygen (mg/L),Oxygen Saturation (mg/L),Oxygen Saturation (%),Light Transmission (%),Beam C (1/m),Chlorophyll-a (æg/L) WET,Chlorophyll-a Voltage (V) WET,Chlorophyll-a (æg/L) ECO,Chlorophyll-a Voltage (V) ECO,CDOM (ug/L) WET,CDOM Voltage (V) WET,CDOM (ug/L) ECO,CDOM Voltage (V) ECO,CDOM (ug/L) Turner,CDOM Voltage (V) Turner,Surface Irradiance (æE/cmýúsec),Irradiance (æE/cmýúsec),Normalized Irradiance (%),delta-T (øC/m),Stability (kg/m?/m),Qual_NH3,Ammonia-N (mg/L),Qual_TC,Total coliforms (MPN/100mL),Qual_FC,Fecal coliforms (MPN/100mL),Qual_EC,E. coli (MPN/100mL),Qual_ENT,Enterococci (MPN/100mL),Disacrete Chl-a (ug/L)
1898,Winter,Oxnard,02/04/2016,09:01,4105,1,6.0,121.9,0.94,14.30,4.069,33.573,25.022,8.15,7.41,8.32,89.05,84.18,0.689,0.11,0.8633,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
1899,Winter,Oxnard,02/04/2016,09:01,4105,1,7.0,123.4,1.00,14.30,4.069,33.574,25.023,8.15,7.36,8.32,88.45,84.14,0.691,0.11,0.9210,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
1900,Winter,Oxnard,02/04/2016,09:01,4105,1,8.0,124.9,0.93,14.30,4.069,33.574,25.024,8.15,7.37,8.32,88.57,84.16,0.690,0.12,0.9881,,,0.03,,,,,,,,,0.01,0.000,,,,,,,,,,,
1901,Winter,Oxnard,02/04/2016,09:01,4105,1,9.0,126.4,0.98,14.29,4.069,33.574,25.024,8.15,7.39,8.32,88.83,84.25,0.686,0.13,1.0797,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
1902,Winter,Oxnard,02/04/2016,09:01,4105,1,10.0,127.9,1.01,14.29,4.069,33.574,25.024,8.15,7.41,8.32,89.06,84.23,0.687,0.13,1.1829,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
1903,Winter,Oxnard,02/04/2016,09:01,4105,1,11.0,129.3,1.00,14.29,4.069,33.574,25.024,8.15,7.39,8.32,88.77,84.27,0.684,0.14,1.2904,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
1904,Winter,Oxnard,02/04/2016,09:01,4105,1,12.0,130.9,0.84,14.29,4.069,33.574,25.024,8.15,7.38,8.32,88.63,84.27,0.685,0.15,1.4080,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
1905,Winter,Oxnard,02/04/2016,09:01,4105,1,13.0,132.4,1.16,14.29,4.069,33.574,25.024,8.15,7.38,8.32,88.66,84.27,0.685,0.16,1.4990,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
1906,Winter,Oxnard,02/04/2016,09:01,4105,1,14.0,133.7,1.16,14.29,4.069,33.574,25.024,8.15,7.36,8.32,88.44,84.24,0.686,0.16,1.5918,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
1907,Winter,Oxnard,02/04/2016,09:01,4105,1,15.0,135.1,0.92,14.29,4.069,33.574,25.024,8.15,7.39,8.32,88.74,84.24,0.686,0.17,1.6642,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
1908,Winter,Oxnard,02/04/2016,09:01,4105,1,16.0,136.7,0.96,14.29,4.069,33.574,25.024,8.15,7.37,8.32,88.50,84.25,0.686,0.17,1.7050,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
1909,Winter,Oxnard,02/04/2016,09:01,4105,1,17.0,138.1,1.07,14.29,4.069,33.574,25.025,8.15,7.38,8.32,88.62,84.26,0.685,0.17,1.7274,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
1910,Winter,Oxnard,02/04/2016,09:01,4105,1,18.0,139.6,0.99,14.29,4.069,33.574,25.025,8.15,7.40,8.32,88.88,84.33,0.682,0.17,1.7299,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
1911,Winter,Oxnard,02/04/2016,09:01,4105,1,19.0,141.0,1.09,14.29,4.069,33.574,25.025,8.15,7.42,8.32,89.19,84.39,0.679,0.17,1.7407,,,0.02,,,,,,,,,0.00,0.001,,,,,,,,,,,
1912,Winter,Oxnard,02/04/2016,09:01,4105,1,20.0,142.3,1.10,14.29,4.069,33.574,25.026,8.15,7.39,8.32,88.78,84.44,0.676,0.18,1.7652,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
1913,Winter,Oxnard,02/04/2016,09:01,4105,1,21.0,143.9,0.82,14.29,4.069,33.574,25.026,8.15,7.34,8.32,88.13,84.50,0.674,0.18,1.7676,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
1914,Winter,Oxnard,02/04/2016,09:01,4105,1,22.0,145.6,0.90,14.29,4.069,33.575,25.026,8.15,7.35,8.32,88.28,84.51,0.673,0.18,1.7691,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
1915,Winter,Oxnard,02/04/2016,09:01,4105,1,23.0,147.1,0.98,14.29,4.069,33.575,25.026,8.15,7.36,8.32,88.43,84.48,0.675,0.18,1.7651,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
1916,Winter,Oxnard,02/04/2016,09:01,4105,1,24.0,148.7,0.90,14.29,4.069,33.575,25.026,8.15,7.37,8.32,88.59,84.51,0.673,0.18,1.7597,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
1917,Winter,Oxnard,02/04/2016,09:01,4105,1,25.0,150.4,0.81,14.29,4.069,33.575,25.026,8.15,7.38,8.32,88.68,84.53,0.672,0.18,1.7441,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
1918,Winter,Oxnard,02/04/2016,09:01,4105,1,26.0,152.3,0.75,14.29,4.069,33.575,25.026,8.15,7.38,8.32,88.69,84.55,0.671,0.17,1.7094,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
1919,Winter,Oxnard,02/04/2016,09:01,4105,1,27.0,153.9,1.00,14.29,4.069,33.574,25.026,8.15,7.36,8.32,88.41,84.52,0.673,0.17,1.7030,,,0.03,,,,,,,,,0.01,0.001,,,,,,,,,,,
1920,Winter,Oxnard,02/04/2016,09:01,4105,1,28.0,155.3,1.15,14.28,4.069,33.575,25.027,8.15,7.35,8.32,88.30,84.52,0.673,0.17,1.7044,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
1921,Winter,Oxnard,02/04/2016,09:01,4105,1,29.0,156.6,1.17,14.28,4.068,33.574,25.027,8.15,7.36,8.32,88.37,84.53,0.672,0.17,1.7041,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
1922,Winter,Oxnard,02/04/2016,09:01,4105,1,30.0,158.2,0.77,14.28,4.068,33.575,25.027,8.15,7.35,8.32,88.29,84.59,0.669,0.17,1.6894,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
1923,Winter,Oxnard,02/04/2016,09:01,4105,1,31.0,160.0,0.86,14.28,4.069,33.574,25.027,8.15,7.32,8.32,87.94,84.63,0.667,0.17,1.6701,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
1924,Winter,Oxnard,02/04/2016,09:01,4105,1,32.0,161.6,1.00,14.28,4.069,33.574,25.027,8.15,7.33,8.32,88.07,84.64,0.667,0.17,1.6454,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
1925,Winter,Oxnard,02/04/2016,09:01,4105,1,33.0,163.1,0.91,14.28,4.069,33.574,25.028,8.15,7.34,8.32,88.20,84.66,0.666,0.17,1.6220,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
1926,Winter,Oxnard,02/04/2016,09:01,4105,1,34.0,164.8,0.89,14.28,4.069,33.574,25.028,8.15,7.37,8.32,88.53,84.65,0.666,0.17,1.6253,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
1927,Winter,Oxnard,02/04/2016,09:01,4105,1,35.0,166.4,0.85,14.28,4.069,33.574,25.028,8.15,7.34,8.32,88.16,84.66,0.666,0.17,1.6193,,,0.02,,,,,,,,,0.00,0.000,,,,,,,,,,,
1928,Winter,Oxnard,02/04/2016,09:01,4105,1,36.0,167.9,1.09,14.28,4.068,33.574,25.028,8.15,7.33,8.32,88.01,84.70,0.664,0.16,1.6041,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
1929,Winter,Oxnard,02/04/2016,09:01,4105,1,37.0,169.3,1.04,14.28,4.068,33.574,25.029,8.15,7.33,8.32,88.05,84.72,0.663,0.16,1.5934,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
1930,Winter,Oxnard,02/04/2016,09:01,4105,1,38.0,170.8,0.96,14.28,4.068,33.574,25.029,8.15,7.36,8.32,88.40,84.72,0.663,0.16,1.5851,,,0.03,,,,,,,,,0.01,0.000,,,,,,,,,,,
1931,Winter,Oxnard,02/04/2016,09:01,4105,1,39.0,172.3,1.08,14.27,4.068,33.574,25.029,8.15,7.36,8.32,88.45,84.74,0.662,0.16,1.5711,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
1932,Winter,Oxnard,02/04/2016,09:01,4105,1,40.0,173.6,1.07,14.27,4.068,33.574,25.030,8.15,7.33,8.32,88.03,84.77,0.661,0.16,1.5600,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
1933,Winter,Oxnard,02/04/2016,09:01,4105,1,41.0,175.0,1.03,14.27,4.068,33.574,25.030,8.15,7.30,8.32,87.71,84.79,0.660,0.16,1.5428,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
1934,Winter,Oxnard,02/04/2016,09:01,4105,1,42.0,176.3,1.17,14.27,4.068,33.574,25.030,8.15,7.33,8.32,88.06,84.79,0.660,0.16,1.5155,,,0.03,,,,,,,,,0.01,0.001,,,,,,,,,,,
1935,Winter,Oxnard,02/04/2016,09:01,4105,1,43.0,177.6,1.16,14.26,4.067,33.574,25.031,8.15,7.29,8.32,87.56,84.81,0.659,0.16,1.5040,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
1936,Winter,Oxnard,02/04/2016,09:01,4105,1,44.0,179.0,0.97,14.26,4.067,33.574,25.032,8.14,7.21,8.32,86.57,84.83,0.658,0.16,1.4918,,,0.03,,,,,,,,,0.01,0.002,,,,,,,,,,,
1937,Winter,Oxnard,02/04/2016,09:01,4105,1,45.0,180.5,1.05,14.25,4.066,33.573,25.034,8.14,7.14,8.33,85.67,84.88,0.656,0.16,1.4736,,,0.03,,,,,,,,,0.03,0.005,,,,,,,,,,,
1938,Winter,Oxnard,02/04/2016,09:01,4105,1,46.0,181.8,1.08,14.22,4.063,33.572,25.039,8.14,7.05,8.33,84.59,85.02,0.649,0.15,1.4552,,,0.03,,,,,,,,,0.03,0.006,,,,,,,,,,,
1939,Winter,Oxnard,02/04/2016,09:01,4105,1,47.0,183.3,0.92,14.19,4.060,33.570,25.045,8.14,6.86,8.34,82.19,85.12,0.644,0.15,1.3918,,,0.03,,,,,,,,,0.05,0.006,,,,,,,,,,,
1940,Winter,Oxnard,02/04/2016,09:01,4105,1,48.0,184.8,1.02,14.14,4.055,33.566,25.051,8.14,6.65,8.34,79.66,85.15,0.643,0.14,1.2464,,,0.03,,,,,,,,,0.16,0.020,,,,,,,,,,,
1941,Winter,Oxnard,02/04/2016,09:01,4105,1,49.0,186.1,1.21,13.98,4.038,33.549,25.071,8.13,6.54,8.37,78.11,85.27,0.638,0.13,1.0961,,,0.03,,,,,,,,,0.19,0.029,,,,,,,,,,,
1942,Winter,Oxnard,02/04/2016,09:01,4105,1,50.0,187.3,1.17,13.79,4.019,33.535,25.100,8.12,6.49,8.41,77.16,85.56,0.624,0.12,0.9910,,,0.03,,,,,,,,,0.13,0.019,,,,,,,,,,,
1943,Winter,Oxnard,02/04/2016,09:01,4105,1,51.0,188.8,0.93,13.66,4.006,33.526,25.119,8.11,6.41,8.43,75.95,85.83,0.611,0.11,0.9069,,,0.03,,,,,,,,,0.10,0.014,,,,,,,,,,,
1944,Winter,Oxnard,02/04/2016,09:01,4105,1,52.0,190.3,1.02,13.56,3.996,33.518,25.133,8.11,6.32,8.45,74.83,86.01,0.603,0.10,0.7530,,,0.03,,,,,,,,,0.11,0.017,,,,,,,,,,,
1945,Winter,Oxnard,02/04/2016,09:01,4105,1,53.0,191.6,1.18,13.45,3.984,33.510,25.150,8.10,6.29,8.47,74.24,86.10,0.599,0.09,0.6339,,,0.03,,,,,,,,,0.07,0.010,,,,,,,,,,,
1946,Winter,Oxnard,02/04/2016,09:01,4105,1,54.0,192.9,1.09,13.38,3.978,33.506,25.160,8.09,6.30,8.48,74.26,86.09,0.599,0.09,0.5629,,,0.03,,,,,,,,,0.08,0.012,,,,,,,,,,,
1947,Winter,Oxnard,02/04/2016,09:01,4105,1,55.0,194.3,1.08,13.30,3.969,33.500,25.172,8.09,6.31,8.49,74.26,86.03,0.602,0.08,0.5192,,,0.03,,,,,,,,,0.06,0.008,,,,,,,,,,,
1948,Winter,Oxnard,02/04/2016,09:01,4105,1,56.0,195.7,0.97,13.24,3.964,33.495,25.180,8.08,6.26,8.50,73.62,85.92,0.607,0.08,0.5030,,,0.03,,,,,,,,,0.02,0.004,,,,,,,,,,,
1949,Winter,Oxnard,02/04/2016,09:01,4105,1,57.0,197.3,0.96,13.22,3.961,33.493,25.184,8.08,6.19,8.51,72.70,85.84,0.611,0.08,0.4590,,,0.03,,,,,,,,,0.05,0.008,,,,,,,,,,,
1950,Winter,Oxnard,02/04/2016,09:01,4105,1,58.0,198.7,1.12,13.17,3.956,33.492,25.192,8.08,6.16,8.52,72.28,85.75,0.615,0.08,0.4303,,,0.03,,,,,,,,,0.04,0.008,,,,,,,,,,,
1951,Winter,Oxnard,02/04/2016,09:01,4105,1,59.0,200.0,1.01,13.13,3.953,33.492,25.200,8.07,6.09,8.52,71.39,85.65,0.620,0.08,0.4162,,,0.03,,,,,,,,,0.03,0.008,,,,,,,,,,,
1952,Winter,Oxnard,02/04/2016,09:01,4105,1,60.0,201.4,1.02,13.10,3.950,33.493,25.208,8.07,5.88,8.53,68.92,85.52,0.626,0.08,0.4035,,,0.03,,,,,,,,,0.08,0.011,,,,,,,,,,,
1953,Winter,Oxnard,02/04/2016,09:01,4105,1,61.0,202.8,1.14,13.02,3.942,33.488,25.219,8.07,5.70,8.54,66.69,85.47,0.628,0.07,0.3880,,,0.03,,,,,,,,,0.24,0.034,,,,,,,,,,,
1954,Winter,Oxnard,02/04/2016,09:01,4105,1,62.0,204.1,1.12,12.78,3.918,33.471,25.253,8.06,5.66,8.59,65.85,85.65,0.620,0.07,0.3808,,,0.03,,,,,,,,,0.22,0.044,,,,,,,,,,,
1955,Winter,Oxnard,02/04/2016,09:01,4105,1,63.0,205.5,0.96,12.56,3.897,33.471,25.297,8.05,5.64,8.63,65.37,86.38,0.586,0.07,0.3669,,,0.03,,,,,,,,,0.06,0.019,,,,,,,,,,,
1956,Winter,Oxnard,02/04/2016,09:01,4105,1,64.0,207.1,0.94,12.50,3.894,33.482,25.316,8.04,5.61,8.64,64.98,87.32,0.542,0.07,0.3303,,,0.03,,,,,,,,,0.02,0.006,,,,,,,,,,,
1957,Winter,Oxnard,02/04/2016,09:01,4105,1,65.0,208.6,0.98,12.48,3.892,33.485,25.322,8.03,5.64,8.64,65.27,87.66,0.527,0.07,0.2704,,,0.04,,,,,,,,,0.00,0.004,,,,,,,,,,,
1958,Winter,Oxnard,02/04/2016,09:01,4105,1,66.0,210.0,1.03,12.48,3.892,33.488,25.326,8.03,5.65,8.64,65.34,87.82,0.519,0.06,0.2390,,,0.04,,,,,,,,,0.00,0.001,,,,,,,,,,,
1959,Winter,Oxnard,02/04/2016,09:01,4105,1,67.0,211.5,0.96,12.48,3.892,33.489,25.327,8.02,5.64,8.64,65.26,87.88,0.517,0.06,0.2270,,,0.03,,,,,,,,,0.01,0.001,,,,,,,,,,,
1960,Winter,Oxnard,02/04/2016,09:01,4105,1,68.0,213.1,0.89,12.47,3.892,33.491,25.328,8.02,5.56,8.64,64.27,87.87,0.517,0.06,0.2201,,,0.04,,,,,,,,,0.00,0.004,,,,,,,,,,,
1961,Winter,Oxnard,02/04/2016,09:01,4105,1,69.0,214.8,0.91,12.47,3.892,33.494,25.332,8.02,5.49,8.64,63.51,87.86,0.518,0.06,0.2167,,,0.04,,,,,,,,,0.01,0.005,,,,,,,,,,,
1962,Winter,Oxnard,02/04/2016,09:01,4105,1,70.0,216.2,1.11,12.46,3.892,33.499,25.337,8.02,5.48,8.64,63.41,87.92,0.515,0.06,0.2131,,,0.04,,,,,,,,,0.01,0.006,,,,,,,,,,,
1963,Winter,Oxnard,02/04/2016,09:01,4105,1,71.0,217.5,1.03,12.45,3.891,33.504,25.343,8.01,5.46,8.65,63.14,88.03,0.510,0.06,0.2114,,,0.04,,,,,,,,,0.00,0.003,,,,,,,,,,,
1964,Winter,Oxnard,02/04/2016,09:01,4105,1,72.0,219.1,0.82,12.45,3.891,33.507,25.346,8.01,5.31,8.65,61.35,88.11,0.506,0.06,0.2091,,,0.04,,,,,,,,,0.04,0.012,,,,,,,,,,,
1965,Winter,Oxnard,02/04/2016,09:01,4105,1,73.0,220.9,0.88,12.41,3.889,33.513,25.358,8.01,5.03,8.65,58.09,88.17,0.504,0.06,0.2044,,,0.04,,,,,,,,,0.07,0.028,,,,,,,,,,,
1966,Winter,Oxnard,02/04/2016,09:01,4105,1,74.0,222.5,0.92,12.34,3.883,33.530,25.386,8.00,4.85,8.67,55.97,88.45,0.491,0.06,0.1941,,,0.04,,,,,,,,,0.03,0.027,,,,,,,,,,,
1967,Winter,Oxnard,02/04/2016,09:01,4105,1,75.0,224.1,1.00,12.31,3.884,33.558,25.413,7.98,4.78,8.67,55.09,88.98,0.467,0.06,0.1867,,,0.04,,,,,,,,,0.02,0.014,,,,,,,,,,,
1968,Winter,Oxnard,02/04/2016,09:01,4105,1,76.0,225.5,1.08,12.29,3.884,33.572,25.427,7.97,4.69,8.67,54.10,89.28,0.453,0.06,0.1685,,,0.04,,,,,,,,,0.02,0.014,,,,,,,,,,,
1969,Winter,Oxnard,02/04/2016,09:01,4105,1,77.0,226.8,1.08,12.27,3.883,33.584,25.441,7.97,4.64,8.68,53.51,89.41,0.448,0.06,0.1472,,,0.04,,,,,,,,,0.05,0.019,,,,,,,,,,,
1970,Winter,Oxnard,02/04/2016,09:01,4105,1,78.0,228.3,0.96,12.22,3.879,33.597,25.460,7.96,4.59,8.68,52.89,89.50,0.444,0.06,0.1310,,,0.04,,,,,,,,,0.04,0.014,,,,,,,,,,,
1971,Winter,Oxnard,02/04/2016,09:01,4105,1,79.0,229.8,1.00,12.18,3.877,33.605,25.474,7.95,4.55,8.69,52.37,89.56,0.441,0.05,0.1199,,,0.04,,,,,,,,,0.06,0.018,,,,,,,,,,,
1972,Winter,Oxnard,02/04/2016,09:01,4105,1,80.0,231.2,0.98,12.12,3.872,33.614,25.492,7.95,4.52,8.70,51.98,89.57,0.440,0.05,0.1144,,,0.04,,,,,,,,,0.11,0.024,,,,,,,,,,,
1973,Winter,Oxnard,02/04/2016,09:01,4105,1,81.0,232.7,1.00,12.01,3.863,33.619,25.516,7.94,4.52,8.72,51.78,89.61,0.439,0.05,0.1095,,,0.04,,,,,,,,,0.10,0.027,,,,,,,,,,,
1974,Winter,Oxnard,02/04/2016,09:01,4105,1,82.0,234.1,1.08,11.91,3.854,33.628,25.543,7.94,4.51,8.74,51.63,89.61,0.439,0.05,0.1079,,,0.04,,,,,,,,,0.04,0.008,,,,,,,,,,,
1975,Winter,Oxnard,02/04/2016,09:01,4105,1,83.0,235.5,1.05,11.87,3.851,33.629,25.551,7.93,4.51,8.75,51.60,89.68,0.436,0.05,0.1033,,,0.04,,,,,,,,,0.03,0.007,,,,,,,,,,,
1976,Winter,Oxnard,02/04/2016,09:01,4105,1,84.0,236.9,1.06,11.84,3.848,33.630,25.558,7.93,4.50,8.75,51.37,89.72,0.434,0.05,0.0977,,,0.04,,,,,,,,,0.04,0.008,,,,,,,,,,,
1977,Winter,Oxnard,02/04/2016,09:01,4105,1,85.0,238.4,0.92,11.80,3.844,33.631,25.566,7.93,4.49,8.76,51.22,89.75,0.432,0.05,0.0969,,,0.04,,,,,,,,,0.04,0.009,,,,,,,,,,,
1978,Winter,Oxnard,02/04/2016,09:01,4105,1,86.0,239.9,1.00,11.76,3.841,33.632,25.575,7.93,4.46,8.77,50.89,89.79,0.431,0.05,0.0930,,,0.04,,,,,,,,,0.01,0.005,,,,,,,,,,,
1979,Winter,Oxnard,02/04/2016,09:01,4105,1,87.0,241.3,0.99,11.75,3.840,33.637,25.580,7.92,4.41,8.77,50.25,89.77,0.432,0.05,0.0916,,,0.04,,,,,,,,,0.00,0.003,,,,,,,,,,,
1980,Winter,Oxnard,02/04/2016,09:01,4105,1,88.0,242.9,0.89,11.75,3.841,33.642,25.583,7.92,4.33,8.77,49.44,89.76,0.432,0.05,0.0895,,,0.04,,,,,,,,,-0.01,0.009,,,,,,,,,,,
1981,Winter,Oxnard,02/04/2016,09:01,4105,1,89.0,244.4,0.95,11.76,3.843,33.654,25.592,7.92,4.30,8.77,49.05,89.77,0.431,0.05,0.0869,,,0.04,,,,,,,,,0.00,0.008,,,,,,,,,,,
1982,Winter,Oxnard,02/04/2016,09:01,4105,1,90.0,246.1,0.89,11.76,3.844,33.665,25.600,7.91,4.27,8.77,48.77,89.75,0.432,0.05,0.0878,,,0.04,,,,,,,,,0.01,0.003,,,,,,,,,,,
1983,Winter,Oxnard,02/04/2016,09:01,4105,1,91.0,247.8,0.89,11.75,3.844,33.669,25.603,7.91,4.26,8.77,48.59,89.76,0.432,0.05,0.0897,,,0.04,,,,,,,,,-0.01,0.004,,,,,,,,,,,
1984,Winter,Oxnard,02/04/2016,09:01,4105,1,92.0,249.3,0.97,11.76,3.845,33.675,25.607,7.91,4.28,8.76,48.78,89.78,0.431,0.05,0.0841,,,0.04,,,,,,,,,0.00,0.003,,,,,,,,,,,
1985,Winter,Oxnard,02/04/2016,09:01,4105,1,93.0,250.8,1.09,11.76,3.846,33.678,25.610,7.91,4.25,8.76,48.52,89.78,0.431,0.05,0.0835,,,0.04,,,,,,,,,0.01,0.002,,,,,,,,,,,
1986,Winter,Oxnard,02/04/2016,09:01,4105,1,94.0,252.0,1.25,11.75,3.846,33.680,25.612,7.91,4.22,8.77,48.10,89.74,0.433,0.05,0.0817,,,0.04,,,,,,,,,0.00,0.003,,,,,,,,,,,
1987,Winter,Oxnard,02/04/2016,09:01,4105,1,95.0,253.2,1.14,11.75,3.846,33.683,25.615,7.90,4.19,8.77,47.83,89.73,0.434,0.05,0.0827,,,0.04,,,,,,,,,0.00,0.004,,,,,,,,,,,
1988,Winter,Oxnard,02/04/2016,09:01,4105,1,96.0,254.6,0.95,11.75,3.846,33.688,25.619,7.90,4.17,8.77,47.58,89.74,0.433,0.05,0.0817,,,0.04,,,,,,,,,0.00,0.003,,,,,,,,,,,
1989,Winter,Oxnard,02/04/2016,09:01,4105,1,97.0,256.3,0.91,11.75,3.847,33.693,25.622,7.90,4.14,8.76,47.21,89.78,0.431,0.05,0.0820,,,0.04,,,,,,,,,0.00,0.006,,,,,,,,,,,
1990,Winter,Oxnard,02/04/2016,09:01,4105,1,98.0,257.9,0.86,11.75,3.848,33.700,25.628,7.90,4.11,8.76,46.92,89.78,0.431,0.05,0.0827,,,0.04,,,,,,,,,0.00,0.004,,,,,,,,,,,
1991,Winter,Oxnard,02/04/2016,09:01,4105,1,99.0,259.6,0.81,11.75,3.848,33.705,25.632,7.89,4.08,8.76,46.53,89.75,0.432,0.05,0.0812,,,0.04,,,,,,,,,0.00,0.006,,,,,,,,,,,
1992,Winter,Oxnard,02/04/2016,09:01,4105,1,100.0,261.6,0.67,11.75,3.848,33.711,25.638,7.89,4.10,8.77,46.83,89.77,0.431,0.05,0.0772,,,0.04,,,,,,,,,,,,,,,,,,,,,
1993,Winter,Oxnard,02/04/2016,08:38,4106,1,1.0,81.0,0.86,14.33,4.071,33.572,25.015,8.15,7.35,8.31,88.34,76.27,1.425,0.13,1.1933,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
1994,Winter,Oxnard,02/04/2016,08:38,4106,1,2.0,82.1,1.07,14.33,4.071,33.572,25.016,8.15,7.39,8.31,88.89,83.33,0.774,0.13,1.1945,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
1995,Winter,Oxnard,02/04/2016,08:38,4106,1,3.0,83.4,1.14,14.33,4.071,33.573,25.016,8.15,7.42,8.31,89.19,84.33,0.685,0.13,1.2013,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
1996,Winter,Oxnard,02/04/2016,08:38,4106,1,4.0,84.8,1.05,14.33,4.071,33.572,25.016,8.15,7.41,8.31,89.04,84.46,0.676,0.13,1.1838,,,0.03,,,,,,,,,0.01,0.000,,,,,,,,,,,
1997,Winter,Oxnard,02/04/2016,08:38,4106,1,5.0,86.2,0.98,14.32,4.071,33.573,25.016,8.15,7.42,8.31,89.23,84.48,0.675,0.13,1.1809,,,0.03,,,,,,,,,0.00,0.001,,,,,,,,,,,
1998,Winter,Oxnard,02/04/2016,08:38,4106,1,6.0,87.7,1.04,14.32,4.071,33.572,25.017,8.15,7.42,8.31,89.17,84.47,0.675,0.13,1.1916,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
1999,Winter,Oxnard,02/04/2016,08:38,4106,1,7.0,89.1,1.08,14.32,4.071,33.572,25.017,8.15,7.43,8.31,89.28,84.47,0.675,0.14,1.2289,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
2000,Winter,Oxnard,02/04/2016,08:38,4106,1,8.0,90.4,1.04,14.32,4.071,33.572,25.017,8.15,7.43,8.31,89.37,84.44,0.676,0.14,1.2905,,,0.02,,,,,,,,,0.00,0.000,,,,,,,,,,,
2001,Winter,Oxnard,02/04/2016,08:38,4106,1,9.0,91.8,1.09,14.32,4.071,33.572,25.017,8.15,7.37,8.31,88.65,84.44,0.677,0.15,1.3785,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
2002,Winter,Oxnard,02/04/2016,08:38,4106,1,10.0,93.1,1.21,14.32,4.071,33.573,25.017,8.15,7.36,8.31,88.45,84.45,0.676,0.15,1.4468,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
2003,Winter,Oxnard,02/04/2016,08:38,4106,1,11.0,94.2,1.48,14.32,4.071,33.572,25.017,8.15,7.40,8.31,88.99,84.44,0.676,0.16,1.4768,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
2004,Winter,Oxnard,02/04/2016,08:38,4106,1,12.0,95.1,1.50,14.32,4.071,33.573,25.017,8.15,7.41,8.31,89.05,84.42,0.678,0.16,1.5068,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
2005,Winter,Oxnard,02/04/2016,08:38,4106,1,13.0,96.3,1.12,14.32,4.071,33.573,25.017,8.15,7.40,8.31,88.93,84.42,0.677,0.16,1.5485,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
2006,Winter,Oxnard,02/04/2016,08:38,4106,1,14.0,97.8,0.96,14.32,4.071,33.573,25.017,8.15,7.42,8.31,89.21,84.49,0.674,0.16,1.5982,,,0.03,,,,,,,,,0.00,0.000,,,,,,,,,,,
